Symbol,Price Average,Volume Average,Price Annual Average Growth Rate,Volume Annual Average Growth Rate,Name,Sector,Marketcap,Rank,Marketcap %
MSFT,183.5396,29030737.4327,27.7888,-1.3094,Microsoft Corporation,Technology,3145008152576,1.0,6.545041509308961
AAPL,93.1687,117318965.8427,25.095,-9.2762,Apple Inc.,Technology,2590841765888,2.0,5.39177200157624
NVDA,163.9677,48254377.0292,81.5103,10.0021,NVIDIA Corporation,Technology,2175975030784,3.0,4.52839745042822
GOOG,79.9548,31066585.6489,20.6876,-4.4298,Alphabet Inc.,Communication Services,1952887209984,4.0,4.0641318662003
GOOGL,79.9017,35490500.253,20.1185,-1.8388,Alphabet Inc.,Communication Services,1947393720320,5.0,4.05269942592112
AMZN,98.2402,76367001.1944,27.7412,-1.9601,"Amazon.com, Inc.",Consumer Cyclical,1931536891904,6.0,4.0196999565545
META,211.8413,23165939.582,23.0145,3.8949,"Meta Platforms, Inc.",Communication Services,1325259816960,7.0,2.75798347470668
BRK-B,236.0971,4114902.2847,12.235,2.8968,Berkshire Hathaway Inc.,Financial Services,884581728256,8.0,1.84089320247696
LLY,224.4269,4115331.7739,28.6116,-1.1028,Eli Lilly and Company,Healthcare,724464697344,9.0,1.50767542915959
AVGO,432.611,2828378.8992,30.0726,2.4544,Broadcom Inc.,Technology,612814028800,10.0,1.27532046385877
V,166.3687,7975595.3105,16.7962,-3.8374,Visa Inc.,Financial Services,563801161728,11.0,1.17332033097717
JPM,115.03,13928930.5487,13.5275,-2.9352,JPMorgan Chase & Co.,Financial Services,561407459328,12.0,1.16833882351872
TSLA,112.0474,113080276.6216,64.3344,13.9946,"Tesla, Inc.",Consumer Cyclical,547019522048,13.0,1.13839624716839
WMT,38.2648,24314901.7758,9.8886,-1.1786,Walmart Inc.,Consumer Defensive,488478998528,14.0,1.01656821435351
XOM,81.073,17667435.6031,5.3515,10.7723,Exxon Mobil Corporation,Energy,484870029312,15.0,1.00905762863207
MA,258.5446,3628893.9426,20.2158,-4.3391,Mastercard Incorporated,Financial Services,437684961280,16.0,0.91086130801648
UNH,313.9261,3603930.0892,18.9293,1.7662,UnitedHealth Group Incorporated,Healthcare,414916378624,17.0,0.8634778637257
PG,115.9776,8142113.8555,8.0586,-0.1806,The Procter & Gamble Company,Consumer Defensive,369988861952,18.0,0.76997970815253
JNJ,141.0631,7712612.5088,5.4522,1.5282,Johnson & Johnson,Healthcare,361948938240,19.0,0.7532479122798901
HD,233.5172,4369902.4686,13.9235,-3.9722,"The Home Depot, Inc.",Consumer Cyclical,347415805952,20.0,0.72300317221226
ORCL,65.4081,12437230.2969,12.9195,-4.0482,Oracle Corporation,Technology,334631075840,21.0,0.69639701247947
MRK,77.5803,10512623.421,9.6461,-2.2617,"Merck & Co., Inc.",Healthcare,321012105216,22.0,0.66805472408981
COST,340.2636,2343266.0299,19.3248,2.4396,Costco Wholesale Corporation,Consumer Defensive,320467140608,23.0,0.66692060430143
CVX,120.7325,8635918.8059,6.5701,2.9197,Chevron Corporation,Energy,302122106880,24.0,0.6287429585166
ABBV,103.6287,7334924.179,12.8548,-4.846,AbbVie Inc.,Healthcare,299292950528,25.0,0.62285523267875
CRM,162.007,5919547.2701,18.628,6.05,"Salesforce, Inc.",Technology,290631385088,26.0,0.60482974511556
BAC,28.2838,64543491.4293,10.9979,-5.8752,Bank of America Corporation,Financial Services,289191952384,27.0,0.60183415771468
AMD,58.5164,60221872.9941,68.0054,32.3117,"Advanced Micro Devices, Inc.",Technology,270121648128,28.0,0.56214715949547
NFLX,320.4427,8977900.0165,28.4172,1.3232,"Netflix, Inc.",Communication Services,267696685056,29.0,0.55710059579999
KO,50.9717,14104423.9437,4.3325,0.5093,The Coca-Cola Company,Consumer Defensive,254015307776,30.0,0.52862843361218
PEP,135.1892,4790749.3557,6.5437,3.6144,"PepsiCo, Inc.",Consumer Defensive,232223457280,31.0,0.48327765576312004
TMO,347.602,1579843.3435,18.2197,-1.034,Thermo Fisher Scientific Inc.,Healthcare,218993131520,32.0,0.45574417188011
ADBE,322.4656,2977011.7894,27.414,5.4025,Adobe Inc.,Technology,218274562048,33.0,0.45424876493889
LIN,230.595,1820045.9109,15.7691,9.0074,Linde plc,Basic Materials,216945164288,34.0,0.45148217003691
DIS,116.0935,10521304.825,1.5245,6.5924,The Walt Disney Company,Communication Services,214961618944,35.0,0.44735423586878
ACN,214.79,2247965.5988,16.3897,0.2691,Accenture plc,Technology,203959697408,36.0,0.42445825924745
WFC,47.6856,22981779.2588,1.2175,7.4937,Wells Fargo & Company,Financial Services,201590374400,37.0,0.41952748747071
CSCO,42.8881,22134547.3379,7.5974,-2.0367,"Cisco Systems, Inc.",Technology,199260635136,38.0,0.41467909298364
MCD,198.0613,3830764.7037,12.8932,-4.9858,McDonald's Corporation,Consumer Cyclical,193712422912,39.0,0.40313277019309995
ABT,82.2974,6133124.8332,11.5156,2.2917,Abbott Laboratories,Healthcare,192899956736,40.0,0.40144195586485
QCOM,96.3519,10607069.0461,11.7979,-3.2827,QUALCOMM Incorporated,Technology,190679760896,41.0,0.39682153097988
TMUS,94.6221,4474089.8397,19.007,2.1005,"T-Mobile US, Inc.",Communication Services,190350213120,42.0,0.3961357127662
CAT,165.126,4164066.719,17.9925,-8.8431,Caterpillar Inc.,Industrials,185803194368,43.0,0.38667296258189
DHR,150.5212,3480002.0742,18.1114,-1.6869,Danaher Corporation,Healthcare,182077554688,44.0,0.37891957525462
INTU,310.2273,1497115.4906,24.6808,-2.733,Intuit Inc.,Technology,175927607296,45.0,0.36612098809429
AMAT,78.5887,9927205.8,32.2664,-8.4912,"Applied Materials, Inc.",Technology,173865205760,46.0,0.36182894718147
GE,86.077,11985607.3747,5.0334,3.9204,General Electric Company,Industrials,171217010688,47.0,0.35631781785204
